word,part_of_speech,meaning,example,phonetic_symbol,audio_link
acoustic,adjective;;noun;;,声音的;听觉的;;（乐器）原声的，自然声的，不用电传音的;;（建筑物、房间的）传音效果，音响效果;;,The microphone converts acoustic waves to electrical signals for transmission.;;麦克风把声波转换成电信号进行传送。;;an acoustic guitar;;原声吉他;;The concert was recorded in a church that is famous for its acoustics.;;这场音乐会是在一座以音响效果闻名的教堂内录制的。;;,/əˈkuː.stɪk/,
acquisition,noun;;,获得;;购置品（常用于收藏）;;收购物（房屋、公司、土地等）;收购;;,The acquisition of huge amounts of data has helped our research enormously.;;获得的大量数据对我们的研究有莫大的帮助。;;Language acquisition (= learning a language without being taught) starts at a very young age.;;语言习得始于幼年。;;The museum's latest acquisition is a four-million-dollar sculpture.;;该博物馆最新购置的藏品为一尊价值400万美元的雕塑。;;I like your earrings - are they a recent acquisition? (= Did you get them recently?);;我挺喜欢你的耳环——你刚买的吗？;;,/ˌæk.wɪˈzɪʃ.ən/,
activate,verb;;,启动，开动；激活;;（尤指通过加热）加速…的化学反应;;,The alarm is activated by the lightest pressure.;;最轻微的压力也会触动警报。;;,/ˈæk.tɪ.veɪt/,
adapt,verb;;,适应;适合;;使适应不同情况（或用途）;改动;改造;改装;改编;;,"Many software companies have adapted popular programs to the new operating system.;;许多软件公司已经改编了常用的程序以适应新的操作系统。;;The recipe here is a pork roast adapted from Caroline O'Neill's book ""Louisiana Kitchen"".;;这道菜是根据卡罗琳•奥尼尔《路易斯安那厨房》一书中烤猪肉的做法改进而来的。;;We had to adapt our plans to fit Jack's timetable.;;我们不得不改变我们的计划来适应杰克的时间安排。;;The play had been adapted for (= changed to make it suitable for) children.;;这个剧本已被改编成儿童剧。;;Davies is busy adapting Brinkworth's latest novel for television.;;戴维斯正忙着把布尔克沃斯的最新小说改编成电视剧。;;The good thing about children is that they adapt very easily to new environments.;;小孩的长处就是能够很容易地适应新环境。;;It took me a while to adapt to the new job.;;我过了一段时间才适应了新工作。;;",/əˈdæpt/,
adequate,adjective;;,足够的;合格的;合乎需要的;;,Have we got adequate food for 20 guests?;;我们的食物够招待20位客人吗？;;I didn't have adequate time to prepare.;;我没有充足的时间来准备。;;It's not a big salary but it's adequate for our needs.;;工资虽不优厚，但足以满足我们的需要了。;;The council's provision for the elderly is barely adequate (= is not enough).;;市政会给老年人提供的保障不足。;;Will future oil supplies be adequate to meet world needs?;;未来的石油供应能满足世界的需要吗？;;,/ˈæd.ə.kwət/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukada/ukadapt029.mp3
adjust,verb;;,（尤指为了使某物更正确、有效或合适而）调整;调节;;整理（衣着）;;适应;习惯;;,"If the chair is too high you can adjust it to suit you.;;如果椅子太高了，你可以把它调到适合你的高度。;;As a teacher you have to adjust your methods to suit the needs of slower children.;;作为一名老师，你必须调整教学方法来适应那些学得较慢的孩子的需要。;;She adjusted her skirt, took a deep breath, and walked into the room.;;她整了整裙子，深吸一口气，走进了房间。;;I can't adjust to living on my own.;;我不习惯独自生活。;;Her eyes slowly adjusted to the dark.;;她的眼睛慢慢适应了黑暗。;;The lifestyle is so very different - it takes a while to adjust.;;生活方式差别太大了，得过一段时间才能适应。;;",/əˈdʒʌst/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukadh/ukadher028.mp3
administration,noun;;,管理；经营；行政;;（企业、机关等的）管理人员;行政人员;管理部门;;一届政府或政府人员（如总统及其内阁）;;提供;施用;;管理令程序，即公司资不抵债时的一种拯救程序，允许公司变更管理人以避免清算。;;,"Teachers complain that more of their time is taken up with administration than with teaching.;;教师们抱怨他们花在行政工作上的时间超过了教学的时间。;;She has little experience in admin (= in organizing a business, etc.).;;她没有什么管理经验。;;The decision to cancel the trip was made by the school administration.;;取消行程的决定是学校管理部门做出的。;;the Obama administration/the last Republican administration;;奥巴马政府／上届共和党政府;;There are strict controls on the administration of drugs.;;药品的施用受严格控制。;;The company has gone into administration, in order for money to be returned to creditors.;;公司已进入管理令程序，以期将资金返还债权人。;;",/ədˌmɪn.ɪˈstreɪ.ʃən/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukadj/ukadjus007.mp3
adopt,verb;;,收养;领养;;接受;采用;采纳;;选定;选用;采用;;养成某种习惯;;,"They've adopted a baby girl.;;他们领养了一个女婴。;;She had the child adopted (= she gave her baby to someone else to take care of).;;她把自己的孩子送给别人抚养。;;They have no children of their own, but they're hoping to adopt.;;他们没有亲生子女，但是希望能领养。;;I think it's time to adopt a different strategy in my dealings with him.;;我觉得在和他的交往中该采用一种不同的策略了。;;The new tax would force companies to adopt energy-saving measures.;;征收新税将迫使公司采取节能措施。;;He's adopted a remarkably light-hearted attitude towards the situation.;;面对这种局面，他摆出了一种异乎寻常的轻描淡写的态度。;;Dr Kennedy has been adopted as the party's candidate for South Cambridge.;;肯尼迪博士被选定为该党南剑桥地区的候选人。;;Roz has adopted one or two funny mannerisms since she's been away.;;罗兹自她离开后养成了一两种可笑的怪癖。;;",/əˈdɒpt/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukadm/ukadmon008.mp3
advent,noun;;noun;;,（事件、发明或人物的）出现，来临，到来;;降临节（圣诞节前的四个星期）;;,Life was transformed by the advent of the steam engine.;;蒸汽机的出现使人类生活发生了翻天覆地的变化。;;,/ˈæd.vent/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukadu/ukadult013.mp3
adventure,noun;;,冒险，历险;奇遇;刺激;;,She had some exciting adventures in Egypt.;;她在埃及经历了一些很刺激的奇遇。;;We got lost on the Metro - it was quite an adventure.;;我们在地铁里迷了路，还真是挺惊险的。;;Sam won't come - he's got no sense of adventure (= he does not enjoy dangerous or exciting situations).;;萨姆不会来的，他不喜欢冒险。;;,/ədˈven.tʃər/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukadu/ukadult017.mp3
advocate,verb;;noun;;,主张;拥护;支持;提倡;;辩护律师;;主张人；拥护人；支持者；提倡者;;,She advocates taking a more long-term view.;;她主张把目光放得更长远一些。;;He advocates the return of capital punishment.;;他主张恢复死刑。;;He's a strong advocate of state ownership of the railways.;;他是铁路国有的积极倡导者。;;,/ˈæd.və.keɪt/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukadv/ukadver013.mp3
affect,verb;;,影响；侵袭；感染；打动;;假装;;（为引人注意或自抬身价而）刻意穿戴，故作;;,Both buildings were badly affected by the fire.;;两座楼都在大火中严重受损。;;The divorce affected every aspect of her life.;;离婚使她生活的各个方面都受到了影响。;;It's a disease that affects mainly older people.;;这是一种主要侵扰老年人的疾病。;;I was deeply affected by the film (= it caused strong feelings in me).;;我被电影深深地打动了。;;To all his problems she affected indifference.;;对他所有的问题，她都装作漠不关心的样子。;;At university he affected an upper-class accent.;;在大学里他拿腔捏调假装上流社会口音。;;He's recently affected a hat and cane.;;近来，他头上戴了顶帽子，手上拿了根拐杖，装腔作势起来。;;,/əˈfekt/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukaer/ukaerog018.mp3
agent,noun;;,代理人；代理商;;（演员、艺术家、作家等的）经纪人，代理人;;特工人员;间谍;;原动力，动因；作用剂;;,Please contact our agent in Spain for further information.;;如需更多信息，请联系本公司在西班牙的代理。;;a secret/foreign agent;;特工人员／外国间谍;;a powerful cleaning agent;;高效清洁剂;;a raising agent for cakes;;蛋糕发酵剂;;a clotting agent;;凝结剂;;He was the agent of their destruction.;;是他导致了他们的毁灭。;;,/ˈeɪ.dʒənt/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukage/ukage__010.mp3
alter,verb;;,（通常指轻微地）改动，修改;改变，（使）变化;;改动（衣服使其更合身）;;阉割，切除;;,"We've had to alter some of our plans.;;我们不得不对一些计划作了改动。;;Although the cost of making phone calls is going up, the charge for connecting to the internet will not alter.;;尽管话费上涨了，上网费不会变。;;Giving up our car has radically altered our lifestyle.;;弃车不用使我们的生活方式发生了根本性的变化。;;I took the coat back to the shop to have it altered.;;我把外套拿回店里去改一下。;;",/ˈɒl.tər/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/e/epd/epd31/epd31150.mp3
altitude,noun;;,海拔，海拔高度;;,"We are currently flying at an altitude of 15,000 metres.;;现在我们正在15000米的高度上飞行。;;Mountain climbers use oxygen when they reach higher altitudes.;;到了海拔较高的地方，登山者就要使用氧气。;;",/ˈæl.tɪ.tʃuːd/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukalt/ukaltar014.mp3
analyse,verb;;,分析;;,"Researchers analysed the purchases of 6,300 households.;;研究者们对6300个家庭的购物消费作了分析。;;Water samples taken from streams were analysed for contamination by chemicals.;;对水样进行分析，来测定溪流是否已受到化学品的污染。;;",/ˈæn.əl.aɪz/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukamu/ukamusi023.mp3
anthropology,noun;;,人类学;;,,/ˌæn.θrəˈpɒl.ə.dʒi/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukant/ukantep019.mp3
anticipate,verb;;,预期，期望;预料;;采取行动来防止;先发制人;;,We don't anticipate any trouble.;;我们不希望出现任何问题。;;We had one or two difficulties along the way that we didn't anticipate.;;在进行的过程中，我们遇到一两个没有预料到的难题。;;Are you anticipating a lot of people at the party tonight?;;你预计今晚的聚会会有很多人来吗？;;They anticipate having several applicants for the job.;;他们预计会有几个人来应聘这份工作。;;They anticipate that they will have several applicants for the job;;他们预计会有几个人来应聘这份工作。;;At this stage we can't really anticipate what will happen.;;在这个阶段我们真的无法预料会发生什么。;;The anticipated inflation figure is lower than last month's.;;预计中的通货膨胀数字低于上月。;;It's always best to anticipate a problem before it arises.;;防患于未然永远都是最明智之举。;;The army anticipated (= took action in preparation for) the explosion by evacuating the town.;;这支军队预料会发生爆炸，已疏散了镇上居民。;;,/ænˈtɪs.ɪ.peɪt/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukant/ukantep026.mp3
apparent,adjective;;,清晰可见的；显而易见的；明白易懂的;;表面上的；貌似（真实）的；显得…的;;,"Her unhappiness was apparent to everyone.;;谁都看得出来她很不开心。;;It was becoming increasingly apparent that he could no longer take care of himself.;;他再也无法自理生活了，这一点日益明显。;;I was on the metro this morning when, for no apparent reason, the man opposite me suddenly screamed.;;今天上午在地铁上，我对面的一个男人突然莫名其妙地尖叫起来。;;There are one or two apparent discrepancies between the two reports.;;这两份报告看上去有一两处出入。;;She has this apparent innocence which, I suspect, she uses to her advantage.;;她貌似天真，但我认为，这只是对她有利的伪装。;;",/əˈpær.ənt/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukapo/ukapolo020.mp3
appeal,noun;;verb;;,对…有吸引力;对…有感染力;引起兴趣;;（尤指向公众的）呼吁，吁请，求助，恳求;;（尤指为了改变法律或官方裁决而提出的）诉请，异议，申诉;;吸引力;感染力;魅力;;（尤指向公众）呼吁，吁请，求助，恳求;;（尤指为寻求减轻处罚而向更高一级法院提出）上诉;;（尤指为了改变法律或官方裁决而）诉请裁决，提出异议，申诉;;,"They're launching (= starting) an appeal to raise money for famine victims.;;他们正在呼吁社会为饥民捐款。;;The police have issued an appeal to the public to stay away from the area over the weekend.;;警察呼吁公众在周末远离这一地区。;;The case went to the court of appeal/the appeal court.;;案件被提交到上诉法院。;;He won his appeal and the sentence was halved.;;他上诉获胜，刑期减半。;;She has lodged (= made) an appeal against the severity of the fine.;;她认为罚金太高，已提起申诉。;;sex appeal;;性感;;Spielberg's movies have a wide appeal.;;斯皮尔伯格的影片广受欢迎。;;This used to be a marvellous hotel but it has lost its appeal in recent years.;;这家旅馆曾经非常好，可是近年来却失去了吸引力。;;They're appealing for clothes and blankets to send to the devastated region.;;他们正在呼吁公众向受灾地区捐献衣物和毛毯。;;The police are appealing to the public for any information about the missing girl.;;警方正向公众求助，请他们提供有关失踪女孩的任何信息。;;I tried to appeal to (= ask for support based on) his sense of loyalty, stressing how good the company had been to him.;;我努力请他对公司保持忠诚，着重强调公司一贯待他不薄。;;Church leaders have appealed to the government to halt the war.;;教会领袖呼吁政府停止战争。;;The teenager has been given leave (= allowed) by the High Court to appeal against her two-year sentence.;;该少女被判刑两年，高级法院允许她如不服判决可提起上诉。;;They're appealing to the court to reduce the sentence to a fine.;;他们正向法院提起上诉，要求将判刑改为罚款。;;The parents appealed against the school's decision not to admit the child.;;这个孩子的父母对学校拒收孩子的决定提出申诉。;;The players appealed to the referee for a free kick.;;运动员请求裁判判罚任意球。;;It's a programme designed to appeal mainly to 16 to 25-year-olds.;;这个节目的目标观众主要是16到25岁的年轻人。;;I think what appeals to me about his painting is his use of colour.;;我想，他的画感染我的地方在于他对色彩的运用。;;I haven't been skiing - it's never really appealed.;;我从来没有滑过雪——我对它从不感兴趣。;;",/əˈpiːl/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukapo/ukapolo023.mp3
applicant,noun;;,（尤指求职于或考大学的）申请人;;,How many applicants did you have for the job?;;申请这个工作的有多少人？;;,/ˈæp.lɪ.kənt/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukapp/ukappen019.mp3
appraisal,noun;;,评定；鉴定；估价；评价;;（工作／业绩）鉴定;;,"The newspaper gave an editorial appraisal of the government's achievements of the past year.;;这家报纸发表社论，对政府在过去一年的业绩作出评价。;;Many companies operate regular job appraisals, often on an annual basis.;;许多公司定期对雇员进行工作鉴定，通常是每年一次。;;",/əˈpreɪ.zəl/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukapp/ukappra001.mp3
appreciation,noun;;,欣赏;理解;感谢;;（价格，价值等的）上涨，增值;;,Max has no appreciation of the finer things in life.;;马克斯对生活中高雅点的事物都不懂欣赏。;;The crowd cheered in appreciation.;;观众喝彩叫好。;;Children rarely show any appreciation of/for what their parents do for them.;;孩子们对父母为自己所做的一切鲜少表现出感激之情。;;These flowers are a token of my appreciation of/for all your help.;;你们给予我那么多帮助，这些鲜花聊表谢意。;;There has been little appreciation in the value of property recently.;;最近房地产价格几乎没有上涨。;;,/əˌpriː.ʃiˈeɪ.ʃən/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukapp/ukappra008.mp3
apprenticeship,noun;;,学徒期;;,,/əˈpren.tɪs.ʃɪp/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukapp/ukappra016.mp3
approach,verb;;noun;;,靠近；接近；临近;;（思考问题的）方式，方法，态度;;着手处理；对付;;接洽;交涉;找…商谈;要求;;靠近;接近;临近;;通路，路径，路线;;与…最近似（或相似）的事物;;接洽;要求;商谈;;,"We could just see the train approaching in the distance.;;我们刚好能看到火车从远处驶来。;;If you look out of the window on the left, you'll see that we're now approaching the Eiffel Tower.;;如果你从左侧的窗口望出去，就可以看到我们正在驶向埃菲尔铁塔。;;I see it's approaching lunchtime, so let's take a break.;;午饭时间快到了，我们休息一下吧。;;In my opinion, no other composers even begin to approach (= come near in quality to) Mozart.;;我认为，任何作曲家和莫扎特相比，都难以望其项背。;;The total amount raised so far is approaching (= almost) $1,000.;;目前筹集到的金额总数将近1000美元了。;;He's very active for a man approaching 80 (= who is almost 80 years old).;;对于一个年近80的老人来说，他精力旺盛。;;I'm not sure how to approach the problem.;;怎样处理这个问题，我没有把握。;;We've just approached the bank for/about a loan.;;我们刚刚联系银行要求贷款。;;She's been approached by a modelling agency.;;一家模特代理公司曾与她接洽过。;;Since our research so far has not produced any answers to this problem, we need to adopt a different approach to it.;;到目前为止，我们还没有研究出任何解决这一问题的方法，所以我们得换一种思路了。;;I've just read an interesting book which has a new approach to Shakespeare.;;我刚读了一本非常有趣的书，它提供了一种对莎士比亚作品的全新解读方式。;;Michael is always very logical in his approach.;;迈克尔的处事方法一贯非常合情合理。;;The siren signalled the approach of an ambulance.;;警笛声表明一辆救护车正在驶来。;;Many kinds of birds fly south at the approach of winter.;;很多鸟在冬天来临之际飞向南方。;;Please fasten your seat belts, the plane is now making its final approach (in)to (= is coming near to and preparing to land at) Heathrow.;;请系好安全带，飞机马上就要在希思罗机场降落。;;There is a very steep approach to the house.;;有一条很险的路通往那座房子。;;We got stuck in a traffic jam on the approach road.;;我们遇上塞车，被堵在引道上了。;;That's the nearest approach to an apology you're going to get from Paula.;;你别想从葆拉那儿得到真正的道歉，她那样做就已经是很不错了。;;The hospital is making approaches to local businesses (= asking them to help) in their bid to raise money.;;为了筹款，医院正在同当地的公司商谈，请求他们解囊相助。;;I hear that Everton have made an approach to (= an attempt to make a business arrangement with) Arsenal to buy one of their players.;;我听说艾弗顿队跟阿森纳队进行过接洽，意欲出钱转入他们的一名球员。;;",/əˈprəʊtʃ/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukapp/ukappra018.mp3
appropriate,adjective;;verb;;,适当的，恰当的；合适的;;挪用;占用;盗用;侵吞;;拨出（款项）;;,appropriate footwear for the country;;适于在乡间穿的鞋;;Is this film appropriate for small children?;;这部电影适合幼童观看吗？;;I didn't think his comments were very appropriate at the time.;;我觉得他在当时发表那些评论很不妥当。;;Is this an appropriate occasion to discuss finance?;;这个场合适于讨论财政问题吗？;;Please complete the appropriate parts of this form (= the parts that are right or necessary for your particular situation) and return it as soon as possible.;;请正确填写表中相关部分并尽快交回。;;He lost his job when he was found to have appropriated some of the company's money.;;他被发现侵吞公司钱款后就丢了工作。;;The government have appropriated millions of pounds for the project.;;政府已经为该项目拨款数百万英镑。;;,/əˈprəʊ.pri.ət/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukapp/ukappra022.mp3
approximate,adjective;;verb;;,大致的，大约的，大概的;;接近，近似;;,"The train's approximate time of arrival is 10.30.;;这列火车大概在10点30分到站。;;The approximate cost will be about $600.;;费用大约为600美元。;;Can you give me an approximate idea of the numbers involved?;;你能粗略地告诉我参与的人数吗？;;The newspaper reports of the discussion only roughly approximated to (= were not exactly the same as) what was actually said.;;报纸关于这次商讨的报道并不完全符合实际。;;Student numbers this year are expected to approximate 5,000 (= to be about 5,000).;;预计今年学生人数可达5000人左右。;;",/əˈprɒk.sɪ.mət/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukapp/ukappro004.mp3
archaeology,noun;;,考古学;;,,/ˌɑː.kiˈɒl.ə.dʒi/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukarc/ukarcha004.mp3
architect,noun;;,建筑师;;设计师;创造者;缔造者;;,Bevan was the architect of the British National Health Service.;;比万是英国国民保健制度的缔造者。;;,/ˈɑː.kɪ.tekt/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukarc/ukarcha025.mp3
arctic,noun;;adjective;;,北极，北极地区;;北极的;;极其寒冷的;;,Polar bears live in the Arctic.;;北极熊生活在北极地区。;;No trees grow in the Arctic regions.;;北极地区不生长树木。;;The North of England has been experiencing Arctic conditions these past few days.;;过去的几天里，英格兰北部天气极其寒冷。;;,/ˈɑːk.tɪk/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukarc/ukarchi007.mp3
arise,verb;;,发生；产生；出现;;起床;;,"Should the opportunity arise, I'd love to go to China.;;要是有机会的话，我很想去中国。;;Could you work on Saturday, should the need arise (= if it were to be necessary)?;;万一有需要，你可以在星期六工作吗？;;Are there any matters arising from (= caused by) the last meeting?;;上次会议有没有引出什么问题？;;We arose early on Christmas morning.;;圣诞节早晨，我们早早地起了床。;;",/əˈraɪz/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukarg/ukargyb006.mp3
arousal,noun;;,性欲激起;;,Physiological changes take place during sexual arousal.;;在性欲激起期间会发生生理变化。;;Pain during intercourse can be caused by lack of arousal.;;性交过程中的疼痛可能是由于性欲未激起而引起的。;;,/əˈraʊ.zəl/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukarm/ukarmho015.mp3
arrange,verb;;,安排;准备;筹划;;整理，使有条理；排列；布置;;改编（乐曲）;;,I'm trying to arrange my work so that I can have a couple of days off next week.;;我正设法把工作安排好，以便下周能够休息两天。;;The meeting has been arranged for Wednesday.;;会议已经安排在了周三。;;They arranged to have dinner the following month.;;他们约在下个月共进晚餐。;;I've already arranged with him to meet at the cinema.;;我已和他约好了在电影院见面。;;She's arranged for her son to have swimming lessons.;;她已经安排她儿子去上游泳课了。;;I'd deliberately arranged that they should arrive at the same time.;;我特意安排好让他们同时到达。;;We haven't yet arranged when to meet.;;我们还没有约好什么时候会面。;;She arranged her birthday cards along the shelf.;;她把生日贺卡在架子上摆成一排。;;Who arranged these flowers so beautifully?;;这花插得真漂亮，谁的手艺？;;His books are neatly arranged in alphabetical order.;;他的书都按照字母顺序排得整整齐齐。;;Beethoven's fifth symphony has been arranged for the piano.;;贝多芬的第五交响乐被改编成了钢琴曲。;;,/əˈreɪndʒ/,https://dictionary.cambridge.org/media/english-chinese-simplified/uk_pron/u/uka/ukarm/ukarmho023.mp3
